coreid,idigbio:associatedsequences,idigbio:barcodeValue,dwc:basisOfRecord,dwc:bed,gbif:canonicalName,dwc:catalogNumber,dwc:class,dwc:collectionCode,dwc:collectionID,idigbio:collectionName,dwc:recordedBy,dwc:vernacularName,idigbio:commonnames,dwc:continent,dwc:coordinateUncertaintyInMeters,dwc:country,idigbio:isoCountryCode,dwc:county,dwc:datasetID,idigbio:eventDate,idigbio:dateModified,idigbio:dataQualityScore,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,idigbio:etag,dwc:eventDate,dwc:family,dwc:fieldNumber,idigbio:flags,dwc:formation,dwc:genus,dwc:geologicalContextID,idigbio:geoPoint,dwc:group,idigbio:hasImage,idigbio:hasMedia,dwc:higherClassification,dwc:highestBiostratigraphicZone,dwc:individualCount,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,idigbio:institutionName,dwc:kingdom,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lithostratigraphicTerms,dwc:locality,dwc:lowestBiostratigraphicZone,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,idigbio:mediarecords,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:municipality,dwc:occurrenceID,dwc:order,dwc:phylum,idigbio:recordIds,dwc:recordNumber,idigbio:recordset,dwc:scientificName,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:taxonID,dwc:taxonomicStatus,dwc:taxonRank,dwc:typeStatus,idigbio:uuid,dwc:verbatimEventDate,dwc:verbatimLocality,idigbio:version,dwc:waterBody
905e4276-c624-4fff-86b5-83ded35dbcb1,,,preservedspecimen,,sorghastrum secundum,158717,liliopsida,herb,,,b. f. hansen,,,north america,,united states,usa,holmes co.,7ddf754f-d193-4cc9-b351-99906754a03b,1981-09-28T00:00:00+00:00,2021-07-27T11:52:57.039575+00:00,0.21739130434782608,,,,,,8affa27cfe62e524117afa8966207e5f3e8908d4,1981-09-28,poaceae,,"[""geopoint_datum_missing"", ""dwc_country_replaced"", ""dwc_originalnameusageid_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_phylum_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""dwc_order_added"", ""dwc_parentnameusageid_added"", ""dwc_class_added""]",,sorghastrum,,"{""lat"": 30.6167, ""lon"": -86.1667}",,true,true,plantae | monocots | poaceae,,,,usf,urn:lsid:biocol.org:col:15638,,plantae,,,,,,,"along us 90, ca. 5 mi. w of ponce de leon; 2 mi. e of the walton county line. t3n, r18w, sec. 36, nw¼ of nw¼.",,,,"[""032e2ff2-2abe-494c-b83a-47b49e1abcfd""]",,,,,b5d02f38-1ee4-474e-9a8d-159ca204f770,poales,tracheophyta,"[""f1cf8457-237e-487a-9d13-5de7d81b9de4\\urn:catalog:usf:herb:158717"", ""f1cf8457-237e-487a-9d13-5de7d81b9de4\\b5d02f38-1ee4-474e-9a8d-159ca204f770""]",8910,f1cf8457-237e-487a-9d13-5de7d81b9de4,sorghastrum secundum,secundum,271,florida,2704421,accepted,species,,905e4276-c624-4fff-86b5-83ded35dbcb1,,"along us 90, ca. 5 mi. w of ponce de leon; 2 mi. e of the walton county line. t3n, r18w, sec. 36, nw¼ of nw¼.",,
e74ea94b-3b84-45e6-ab9e-d903d1d6ebbe,,,preservedspecimen,,sorghastrum secundum,119724,liliopsida,herb,,,a.g. shuey,,,north america,,united states,usa,brevard co.,7ddf754f-d193-4cc9-b351-99906754a03b,1972-09-24T00:00:00+00:00,2021-04-19T22:02:22.904916+00:00,0.21739130434782608,,,,,,47d142d0bac91f5cc03cb86fedaad4cff8b32601,1972-09-24,poaceae,,"[""dwc_country_replaced"", ""dwc_originalnameusageid_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_phylum_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""dwc_order_added"", ""dwc_parentnameusageid_added"", ""dwc_class_added""]",,sorghastrum,,,,true,true,plantae | monocots | poaceae,,,,usf,urn:lsid:biocol.org:col:15638,,plantae,,,,,,,"north merritt island on happy creek road. t21s, r36e, sec. 36, s½.",,,,"[""25f91124-48ac-48c9-a0a4-1787109f4be1""]",,,,,9d876f56-8a8b-4c79-9c7f-e8a9518dffbf,poales,tracheophyta,"[""f1cf8457-237e-487a-9d13-5de7d81b9de4\\urn:catalog:usf:herb:119724"", ""f1cf8457-237e-487a-9d13-5de7d81b9de4\\9d876f56-8a8b-4c79-9c7f-e8a9518dffbf""]",m0220,f1cf8457-237e-487a-9d13-5de7d81b9de4,sorghastrum secundum,secundum,268,florida,2704421,accepted,species,,e74ea94b-3b84-45e6-ab9e-d903d1d6ebbe,,"north merritt island on happy creek road. t21s, r36e, sec. 36, s½.",,
3e2a8214-e667-4d38-9189-593b88d68036,,,preservedspecimen,,sorghastrum secundum,259420,liliopsida,herb,,,"r. o. woodbury, r. roberts",,,north america,,united states,usa,martin co.,7ddf754f-d193-4cc9-b351-99906754a03b,1988-07-10T00:00:00+00:00,2021-07-27T11:52:57.039575+00:00,0.21739130434782608,,,,,,f56dbb67edb5a4864faab837ba91409cbc11bcc5,1988-07,poaceae,,"[""geopoint_datum_missing"", ""geopoint_low_precision"", ""dwc_country_replaced"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_phylum_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""dwc_order_added"", ""dwc_originalnameusageid_added"", ""dwc_class_added""]",,sorghastrum,,"{""lat"": 27.75, ""lon"": -82.1333}",,true,true,plantae | monocots | poaceae,,,,usf,urn:lsid:biocol.org:col:15638,,plantae,,,,,,,"jonathan dickinson state park, e of picnic area.",,,,"[""04de1fd1-c432-4605-8b23-7dbdc3284e9f""]",,,,jonathan dickinson state park,660c10eb-a5a9-4f7c-bdd5-f3a788151513,poales,tracheophyta,"[""f1cf8457-237e-487a-9d13-5de7d81b9de4\\urn:catalog:usf:herb:259420"", ""f1cf8457-237e-487a-9d13-5de7d81b9de4\\660c10eb-a5a9-4f7c-bdd5-f3a788151513""]",s.n.,f1cf8457-237e-487a-9d13-5de7d81b9de4,sorghastrum secundum,secundum,192,florida,2704421,accepted,species,,3e2a8214-e667-4d38-9189-593b88d68036,,e of picnic area.,,
8fa84916-76c0-41b4-bbe5-7986d49dc9c2,,,preservedspecimen,,sorghastrum secundum,221208,liliopsida,herb,,,r. p. wunderlin,,,north america,,united states,usa,hillsborough co.,7ddf754f-d193-4cc9-b351-99906754a03b,1994-10-02T00:00:00+00:00,2021-07-27T11:52:57.039575+00:00,0.2318840579710145,,,,,,9cc8943e588f5360fc689117aeb03947243c04e4,1994-10-02,poaceae,,"[""geopoint_datum_missing"", ""dwc_country_replaced"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_phylum_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""dwc_order_added"", ""dwc_originalnameusageid_added"", ""dwc_class_added""]",,sorghastrum,,"{""lat"": 28.1511, ""lon"": -82.4615}",,true,true,plantae | monocots | poaceae,,,,usf,urn:lsid:biocol.org:col:15638,,plantae,,,,,,,"flatwoods [county] park, 2.5 mi. (sld) nw of morris bridge; ca. 7 mi. e of lutz. t27s, r20e, sec. 19, ne¼.",,,,"[""f1858731-f5a5-4115-96e3-8528d7cda8a2""]",,,,flatwoods [county] park,a048c797-8bb8-44e1-b0dc-4ed5ab08b535,poales,tracheophyta,"[""f1cf8457-237e-487a-9d13-5de7d81b9de4\\urn:catalog:usf:herb:221208"", ""f1cf8457-237e-487a-9d13-5de7d81b9de4\\a048c797-8bb8-44e1-b0dc-4ed5ab08b535""]",10585,f1cf8457-237e-487a-9d13-5de7d81b9de4,sorghastrum secundum,secundum,275,florida,2704421,accepted,species,,8fa84916-76c0-41b4-bbe5-7986d49dc9c2,,"2.5 mi. (sld) nw of morris bridge; ca. 7 mi. e of lutz. t27s, r20e, sec. 19, ne¼.",,
36a9a650-07d6-49c6-a75b-0c1d8681e84e,,,preservedspecimen,,sorghastrum secundum,134559,liliopsida,herb,,,s. mortellaro,,,north america,,united states,usa,hillsborough co.,7ddf754f-d193-4cc9-b351-99906754a03b,1977-09-27T00:00:00+00:00,2021-07-27T11:52:57.039575+00:00,0.21739130434782608,,,,,,bbd358bb1d5d895a497200d4b59aba509c10b3d6,1977-09-27,poaceae,,"[""geopoint_datum_missing"", ""dwc_country_replaced"", ""dwc_originalnameusageid_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_phylum_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""dwc_order_added"", ""dwc_parentnameusageid_added"", ""dwc_class_added""]",,sorghastrum,,"{""lat"": 28.1254, ""lon"": -82.4368}",,true,true,plantae | monocots | poaceae,,,,usf,urn:lsid:biocol.org:col:15638,,plantae,,,,,,,"off livingston avenue, n of clements road.",,,,"[""4e676655-ad32-4eb0-9263-b96cb50befd0""]",,,,,cf33c4b3-e486-4c12-b82e-99663134ef95,poales,tracheophyta,"[""f1cf8457-237e-487a-9d13-5de7d81b9de4\\urn:catalog:usf:herb:134559"", ""f1cf8457-237e-487a-9d13-5de7d81b9de4\\cf33c4b3-e486-4c12-b82e-99663134ef95""]",160,f1cf8457-237e-487a-9d13-5de7d81b9de4,sorghastrum secundum,secundum,270,florida,2704421,accepted,species,,36a9a650-07d6-49c6-a75b-0c1d8681e84e,,"off livingston avenue, n of clements road.",,
01f06dc4-3728-41c8-8633-4db45b7eb4e4,,,preservedspecimen,,sorghastrum secundum,14923,liliopsida,herb,,,"j. d. ray, jr.",,,north america,,united states,usa,hernando co.,7ddf754f-d193-4cc9-b351-99906754a03b,1959-10-14T00:00:00+00:00,2021-07-27T11:52:57.039575+00:00,0.21739130434782608,,,,,,c02803febfedbb8a815929f763db634a38c84d71,1959-10-14,poaceae,,"[""geopoint_datum_missing"", ""dwc_country_replaced"", ""dwc_originalnameusageid_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""dwc_order_added"", ""dwc_phylum_replaced"", ""dwc_parentnameusageid_added"", ""dwc_class_added""]",,sorghastrum,,"{""lat"": 28.5553, ""lon"": -82.3879}",,true,true,plantae | monocots | poaceae,,,,usf,urn:lsid:biocol.org:col:15638,,plantae,,,,,,,"along us 41, 4 mi. n of brooksville.",,,,"[""db530044-b733-42f9-a082-cf5a9c503d9e""]",,,,,14efafac-917d-4832-a061-c8571308da74,poales,tracheophyta,"[""f1cf8457-237e-487a-9d13-5de7d81b9de4\\urn:catalog:usf:herb:14923"", ""f1cf8457-237e-487a-9d13-5de7d81b9de4\\14efafac-917d-4832-a061-c8571308da74""]",9487,f1cf8457-237e-487a-9d13-5de7d81b9de4,sorghastrum secundum,secundum,287,florida,2704421,accepted,species,,01f06dc4-3728-41c8-8633-4db45b7eb4e4,,"along us 41, 4 mi. n of brooksville.",,
437eb0f2-05d0-4a51-bc84-a4c3765d4222,,,preservedspecimen,,sorghastrum secundum,134549,liliopsida,herb,,,g. winkler,,,north america,,united states,usa,hillsborough co.,7ddf754f-d193-4cc9-b351-99906754a03b,1977-10-29T00:00:00+00:00,2021-07-27T11:52:57.039575+00:00,0.21739130434782608,,,,,,a5ba9d0f72f00d8bbb12e10cd1d8e5ca77ed47a0,1977-10-29,poaceae,,"[""geopoint_datum_missing"", ""geopoint_low_precision"", ""dwc_country_replaced"", ""dwc_originalnameusageid_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_phylum_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""dwc_order_added"", ""dwc_parentnameusageid_added"", ""dwc_class_added""]",,sorghastrum,,"{""lat"": 28.0, ""lon"": -82.0}",,true,true,plantae | monocots | poaceae,,,,usf,urn:lsid:biocol.org:col:15638,,plantae,,,,,,,"university of south florida ecological research area, near the gate.",,,,"[""378aa6ff-25eb-4745-8f23-4298279210e9""]",,,,university of south florida ecological research area,c7963320-6bab-42b1-a27d-90fea7535f66,poales,tracheophyta,"[""f1cf8457-237e-487a-9d13-5de7d81b9de4\\urn:catalog:usf:herb:134549"", ""f1cf8457-237e-487a-9d13-5de7d81b9de4\\c7963320-6bab-42b1-a27d-90fea7535f66""]",9,f1cf8457-237e-487a-9d13-5de7d81b9de4,sorghastrum secundum,secundum,302,florida,2704421,accepted,species,,437eb0f2-05d0-4a51-bc84-a4c3765d4222,,near the gate.,,
13322b16-0b9a-49ce-8bfe-c827ea2b6766,,,preservedspecimen,,sorghastrum secundum,290049,liliopsida,herb,,,j. n. burch,,,north america,,united states,usa,collier co.,7ddf754f-d193-4cc9-b351-99906754a03b,1990-09-30T00:00:00+00:00,2021-07-27T11:52:57.039575+00:00,0.21739130434782608,,,,,,b26766fadae5e5d046927f293eba8b41f141d7e3,1990-09-30,poaceae,,"[""geopoint_datum_missing"", ""dwc_country_replaced"", ""dwc_originalnameusageid_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_phylum_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""dwc_order_added"", ""dwc_parentnameusageid_added"", ""dwc_class_added""]",,sorghastrum,,"{""lat"": 26.2109, ""lon"": -81.8068}",,true,true,plantae | monocots | poaceae,,,,usf,urn:lsid:biocol.org:col:15638,,plantae,,,,,,,"marco island, s of marco lake drive.  t52s, r25e, sec. 16.",,,,"[""f9c8eef3-9c58-4ec8-9b67-8fe284a1d466""]",,,,,e7aa8eb9-617e-403f-a057-990fa7b006d2,poales,tracheophyta,"[""f1cf8457-237e-487a-9d13-5de7d81b9de4\\urn:catalog:usf:herb:290049"", ""f1cf8457-237e-487a-9d13-5de7d81b9de4\\e7aa8eb9-617e-403f-a057-990fa7b006d2""]",23,f1cf8457-237e-487a-9d13-5de7d81b9de4,sorghastrum secundum,secundum,273,florida,2704421,accepted,species,,13322b16-0b9a-49ce-8bfe-c827ea2b6766,,"marco island, s of marco lake drive.  t52s, r25e, sec. 16.",,
a22090f4-a59a-4648-92ed-cb4fb02b1093,,,preservedspecimen,,sorghastrum secundum,42932,liliopsida,herb,,,"d. b. ward, s.s. ward",,,north america,,united states,usa,st. johns co.,7ddf754f-d193-4cc9-b351-99906754a03b,1960-10-18T00:00:00+00:00,2021-07-27T11:52:57.039575+00:00,0.21739130434782608,,,,,,13b9a4f4f31559dc0aaf2acc30b3718b4d32133c,1960-10-18,poaceae,,"[""geopoint_datum_missing"", ""dwc_country_replaced"", ""dwc_originalnameusageid_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""dwc_order_added"", ""dwc_phylum_replaced"", ""dwc_parentnameusageid_added"", ""dwc_class_added""]",,sorghastrum,,"{""lat"": 29.718, ""lon"": -81.5081}",,true,true,plantae | monocots | poaceae,,,,usf,urn:lsid:biocol.org:col:15638,,plantae,,,,,,,"between road and the rail road on the n side of hastings. t9s, r28e, sec. 8.",,,,"[""083102d3-8f53-4ef6-94d0-07429d30e712""]",,,,,850b9d49-df89-42c5-993d-1c0d76663905,poales,tracheophyta,"[""f1cf8457-237e-487a-9d13-5de7d81b9de4\\urn:catalog:usf:herb:42932"", ""f1cf8457-237e-487a-9d13-5de7d81b9de4\\850b9d49-df89-42c5-993d-1c0d76663905""]",2304,f1cf8457-237e-487a-9d13-5de7d81b9de4,sorghastrum secundum,secundum,292,florida,2704421,accepted,species,,a22090f4-a59a-4648-92ed-cb4fb02b1093,,"between road and the rail road on the n side of hastings. t9s, r28e, sec. 8.",,
03bf54e6-2cef-4d7d-bff1-5d4b9356c023,,,preservedspecimen,,sorghastrum secundum,249169,liliopsida,herb,,,a. r. franck,,,north america,,united states,usa,desoto co.,7ddf754f-d193-4cc9-b351-99906754a03b,2008-09-29T00:00:00+00:00,2021-04-19T22:02:22.904916+00:00,0.21739130434782608,,,,,,85453c96993c296f8aa7a55f61c22de4792b4d47,2008-09-29,poaceae,,"[""geopoint_datum_missing"", ""geopoint_low_precision"", ""dwc_country_replaced"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_phylum_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""dwc_order_added"", ""dwc_originalnameusageid_added"", ""dwc_class_added""]",,sorghastrum,,"{""lat"": 27.0333, ""lon"": -82.0}",,true,true,plantae | monocots | poaceae,,,,usf,urn:lsid:biocol.org:col:15638,,plantae,,,,,,,"deep creek preserve, along a trail in ca. 900 ha on the w side of the peace river, ca. 4.5 km ne of the i-75 and kings highway (c-769) junction.",,,,"[""59d746c9-2744-4cc1-8ce9-dd899778653d""]",,,,deep creek preserve,d747d0f5-b89d-49e0-a3f6-d72b18c19044,poales,tracheophyta,"[""f1cf8457-237e-487a-9d13-5de7d81b9de4\\urn:catalog:usf:herb:249169"", ""f1cf8457-237e-487a-9d13-5de7d81b9de4\\d747d0f5-b89d-49e0-a3f6-d72b18c19044""]",1002,f1cf8457-237e-487a-9d13-5de7d81b9de4,sorghastrum secundum,secundum,273,florida,2704421,accepted,species,,03bf54e6-2cef-4d7d-bff1-5d4b9356c023,,"along a trail in ca. 900 ha on the w side of the peace river, ca. 4.5 km ne of the i-75 and kings highway (c-769) junction.",,
ce0e39b1-322b-4695-8a69-7038bba8a232,,,preservedspecimen,,sorghastrum secundum,113325,liliopsida,herb,,,"r. a. hilsenbeck, j.e. poppleton",,,north america,,united states,usa,hillsborough co.,7ddf754f-d193-4cc9-b351-99906754a03b,1974-10-02T00:00:00+00:00,2021-07-27T11:52:57.039575+00:00,0.2028985507246377,,,,,,41580cf2b49133fc0ce2ce68c1522e862f6bb26a,1974-10-02,poaceae,,"[""geopoint_datum_missing"", ""geopoint_low_precision"", ""dwc_country_replaced"", ""dwc_originalnameusageid_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_phylum_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""dwc_order_added"", ""dwc_parentnameusageid_added"", ""dwc_class_added""]",,sorghastrum,,"{""lat"": 28.0, ""lon"": -82.0}",,true,true,plantae | monocots | poaceae,,,,usf,urn:lsid:biocol.org:col:15638,,plantae,,,,,,,"near the intersection of 30th street [bruce b. downs boulevard] and skipper road, n of the university of south florida.",,,,"[""67fb4da3-1386-4775-8dd7-e1fad47c7806""]",,,,,98903f57-35e0-4ffb-8166-6eba13523bf5,poales,tracheophyta,"[""f1cf8457-237e-487a-9d13-5de7d81b9de4\\urn:catalog:usf:herb:113325"", ""f1cf8457-237e-487a-9d13-5de7d81b9de4\\98903f57-35e0-4ffb-8166-6eba13523bf5""]",s.n.,f1cf8457-237e-487a-9d13-5de7d81b9de4,sorghastrum secundum,secundum,275,florida,2704421,accepted,species,,ce0e39b1-322b-4695-8a69-7038bba8a232,,"near the intersection of 30th street [bruce b. downs boulevard] and skipper road, n of the university of south florida.",,
440b64f3-a3b6-4275-a261-cd0270ead6cd,,,preservedspecimen,,sorghastrum secundum,279652,liliopsida,herb,,,a. c. schmidt,,,north america,,united states,usa,hillsborough co.,7ddf754f-d193-4cc9-b351-99906754a03b,2001-10-15T00:00:00+00:00,2021-04-19T22:02:22.904916+00:00,0.2318840579710145,,,,,,2fb564a39d117264f79d5c7eef11392028b31819,2001-10-15,poaceae,,"[""geopoint_datum_missing"", ""dwc_country_replaced"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""dwc_order_added"", ""dwc_phylum_replaced"", ""dwc_originalnameusageid_added"", ""dwc_class_added""]",,sorghastrum,,"{""lat"": 28.0703, ""lon"": -82.3886}",,true,true,plantae | monocots | poaceae,,,,usf,urn:lsid:biocol.org:col:15638,,plantae,,,,,,,"university of south florida ecological research area, ca. 0.51 km ene of the junction of fletcher avenue (c-582a) and 56th street (fl 583); wnw of e gate ca. 200 m along main e-w dirt road, then s ca. 24 m into the nw corner of burn plot 1e.",,,,"[""492bcaad-f15b-4970-9d72-70880350d47e""]",,,,university of south florida ecological research area,b18b79ea-4b68-4f34-8605-24cd4520cb4c,poales,tracheophyta,"[""f1cf8457-237e-487a-9d13-5de7d81b9de4\\urn:catalog:usf:herb:279652"", ""f1cf8457-237e-487a-9d13-5de7d81b9de4\\b18b79ea-4b68-4f34-8605-24cd4520cb4c""]",99,f1cf8457-237e-487a-9d13-5de7d81b9de4,sorghastrum secundum,secundum,288,florida,2704421,accepted,species,,440b64f3-a3b6-4275-a261-cd0270ead6cd,,"ca. 0.51 km ene of the junction of fletcher avenue (c-582a) and 56th street (fl 583); wnw of e gate ca. 200 m along main e-w dirt road, then s ca. 24 m into the nw corner of burn plot 1e.",,
ec1badc4-10f3-4a08-b4c4-ff3297d86f04,,,preservedspecimen,,sorghastrum secundum,229846,liliopsida,herb,,,r. a. hattaway,,,north america,,united states,usa,collier co.,7ddf754f-d193-4cc9-b351-99906754a03b,1998-10-08T00:00:00+00:00,2021-07-27T11:52:57.039575+00:00,0.2318840579710145,,,,,,aac5c842c5dfdecf21f9f4ca5601710a43635aec,1998-10-08,poaceae,,"[""geopoint_datum_missing"", ""dwc_country_replaced"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_taxon_corrected"", ""dwc_scientificnameauthorship_replaced"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_phylum_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""dwc_order_added"", ""dwc_originalnameusageid_added"", ""dwc_class_added""]",,sorghastrum,,"{""lat"": 26.1333, ""lon"": -81.4833}",,true,true,plantae | monocots | poaceae,,,,usf,urn:lsid:biocol.org:col:15638,,plantae,,,,,,,"collier-seminole state park, the edge of old marco road. t51s, r27e, sec. 28, sw¼ of ne¼.",,,,"[""db16ddc5-0e6d-4277-afb6-251ccb28d1ce""]",,,,collier-seminole state park,f8e2dc1a-2ad8-437e-b805-c25c12c28267,poales,tracheophyta,"[""f1cf8457-237e-487a-9d13-5de7d81b9de4\\urn:catalog:usf:herb:229846"", ""f1cf8457-237e-487a-9d13-5de7d81b9de4\\f8e2dc1a-2ad8-437e-b805-c25c12c28267""]",cs0391,f1cf8457-237e-487a-9d13-5de7d81b9de4,sorghastrum secundum,secundum,281,florida,2704421,accepted,species,,ec1badc4-10f3-4a08-b4c4-ff3297d86f04,,"the edge of old marco road. t51s, r27e, sec. 28, sw¼ of ne¼.",,
